,dt,hour,xrp_bal,rlusd_bal,RLUSD_XRPL_Supply,RLUSD_ETH_Supply
1,2025-04-06 19:00:00+00:00,,,,,
4,2025-04-06 19:31:42.389545+00:00,2025-04-06 19:00:00,956759.069988,1913656.874299113,94055086.28999995,199637599.55
