avg_order,dt,num_orders,vol
41.5250414334906,2025-02-24 00:00:00.000 UTC,10,415.250414334906
72.84256072295634,2025-02-23 00:00:00.000 UTC,19,1384.0086537361703
68.07525798109799,2025-02-22 00:00:00.000 UTC,25,1701.8814495274498
886.8888639563249,2025-02-21 00:00:00.000 UTC,46,40796.88774199095
166.4839990765797,2025-02-20 00:00:00.000 UTC,39,6492.875963986608
901.3926836616023,2025-02-19 00:00:00.000 UTC,48,43266.84881575691
956.8123598231437,2025-02-18 00:00:00.000 UTC,39,39229.30675274889
361.3782627835121,2025-02-17 00:00:00.000 UTC,49,17707.534876392096
141.17222339468483,2025-02-16 00:00:00.000 UTC,40,5505.716712392708
253.36080188857827,2025-02-15 00:00:00.000 UTC,21,5320.576839660143
105.66886548810392,2025-02-14 00:00:00.000 UTC,34,3275.7348301312213
656.8496200809848,2025-02-13 00:00:00.000 UTC,32,21019.187842591513
689.3344855113254,2025-02-12 00:00:00.000 UTC,19,13097.355224715182
1257.2985949425151,2025-02-11 00:00:00.000 UTC,27,32689.763468505393
1473.5089979236423,2025-02-10 00:00:00.000 UTC,40,61887.377912792974
1236.2226085608777,2025-02-09 00:00:00.000 UTC,41,50685.12695099599
338.22615697032705,2025-02-08 00:00:00.000 UTC,32,9808.558552139484
117.97689734318965,2025-02-07 00:00:00.000 UTC,31,3657.283817638879
132.97591059346144,2025-02-06 00:00:00.000 UTC,27,3590.3495860234584
1807.0767075345063,2025-02-05 00:00:00.000 UTC,36,63247.68476370772
986.3645271363673,2025-02-04 00:00:00.000 UTC,44,35509.122976909224
4627.892571861719,2025-02-03 00:00:00.000 UTC,13,60162.603434202356
1293.9597165556563,2025-02-02 00:00:00.000 UTC,16,20703.3554648905
500.01946699308223,2025-02-01 00:00:00.000 UTC,49,23000.895481681782
751.3733462891943,2025-01-31 00:00:00.000 UTC,33,24043.947081254217
114.88356404995069,2025-01-30 00:00:00.000 UTC,33,3561.3904855484716
284.8466735455444,2025-01-29 00:00:00.000 UTC,35,9684.786900548508
1000.6509277419051,2025-01-28 00:00:00.000 UTC,55,55035.80102580478
428.44505921512325,2025-01-27 00:00:00.000 UTC,24,11139.571539593204
555.8622347660989,2025-01-26 00:00:00.000 UTC,33,18899.315982047363
951.0423140887103,2025-01-25 00:00:00.000 UTC,26,24727.100166306467
428.22748629730705,2025-01-24 00:00:00.000 UTC,34,14559.73453410844
284.0520137862964,2025-01-23 00:00:00.000 UTC,41,11646.132565238153
273.4660402365916,2025-01-22 00:00:00.000 UTC,31,8477.44724733434
32.702717264098,2025-01-21 00:00:00.000 UTC,2,65.405434528196
162.9085674148115,2025-01-20 00:00:00.000 UTC,2,325.817134829623
100.99027066010999,2025-01-19 00:00:00.000 UTC,1,100.99027066010999
14.871708881250001,2025-01-18 00:00:00.000 UTC,1,14.871708881250001
487.6524282819494,2025-01-17 00:00:00.000 UTC,10,4876.524282819494
50.24818235633833,2025-01-16 00:00:00.000 UTC,3,150.744547069015
